"sub.id" "comm.id" "type.id" "diff"
"400" "uq2088" "Visual" "picture" 0.350038553460741
"401" "zb4289" "FrontoParietal" "load" -0.100369537210246
"402" "zb4289" "FrontoParietal" "picture" -0.0339646265550139
"403" "zb4289" "Visual" "load" -0.108979415093956
"404" "zb4289" "Visual" "picture" 0.231304705860933
"405" "mo8661" "FrontoParietal" "load" 0.12337134218558
"406" "mo8661" "FrontoParietal" "picture" -0.0769352232372215
"407" "mo8661" "Visual" "load" -0.118619390043734
"408" "mo8661" "Visual" "picture" 0.314679657912567
"409" "wo4163" "FrontoParietal" "load" 0.00703809177140746
"410" "wo4163" "FrontoParietal" "picture" 0.00844028026540933
"411" "wo4163" "Visual" "load" -0.189646540464476
"412" "wo4163" "Visual" "picture" 0.396774236601498
"413" "ml2532" "FrontoParietal" "load" 0.0913750806034759
"414" "ml2532" "FrontoParietal" "picture" -0.154410575370745
"415" "ml2532" "Visual" "load" -0.131205641343305
"416" "ml2532" "Visual" "picture" 0.300173024755769
"417" "yw5740" "FrontoParietal" "load" 0.194972313912958
"418" "yw5740" "FrontoParietal" "picture" -0.0823643470463228
"419" "yw5740" "Visual" "load" -0.149894749208959
"420" "yw5740" "Visual" "picture" 0.389593369604025
"421" "th4838" "FrontoParietal" "load" 0.0490600712980427
"422" "th4838" "FrontoParietal" "picture" -0.148698019261845
"423" "th4838" "Visual" "load" -0.144221878825484
"424" "th4838" "Visual" "picture" 0.227764562904765
"425" "ss2996" "FrontoParietal" "load" 0.144833904077227
"426" "ss2996" "FrontoParietal" "picture" -0.100797845500557
"427" "ss2996" "Visual" "load" -0.189233629115955
"428" "ss2996" "Visual" "picture" 0.378570516782534
"429" "ct4171" "FrontoParietal" "load" 0.427197782809816
"430" "ct4171" "FrontoParietal" "picture" -0.228889105280598
"431" "ct4171" "Visual" "load" 0.0473033791465775
"432" "ct4171" "Visual" "picture" 0.065945712627225
"433" "zn9000" "FrontoParietal" "load" 0.328247082564413
"434" "zn9000" "FrontoParietal" "picture" -0.182854666381453
"435" "zn9000" "Visual" "load" -0.0210247967626764
"436" "zn9000" "Visual" "picture" 0.194151403817548
"437" "ql1697" "FrontoParietal" "load" 0.141610160038736
"438" "ql1697" "FrontoParietal" "picture" -0.107189718961525
"439" "ql1697" "Visual" "load" -0.116850261743855
"440" "ql1697" "Visual" "picture" 0.321134346109003
"441" "mn3104" "FrontoParietal" "load" 0.122404227377446
"442" "mn3104" "FrontoParietal" "picture" -0.096602281766832
"443" "mn3104" "Visual" "load" -0.168880544926064
"444" "mn3104" "Visual" "picture" 0.214552092347709
"445" "es3029" "FrontoParietal" "load" 0.201032712462755
"446" "es3029" "FrontoParietal" "picture" -0.0948582848511123
"447" "es3029" "Visual" "load" -0.0914009147378142
"448" "es3029" "Visual" "picture" 0.343823290539668
"449" "gr828" "FrontoParietal" "load" 0.345480357817767
"450" "gr828" "FrontoParietal" "picture" -0.127127585916776
"451" "gr828" "Visual" "load" -0.16823540447126
"452" "gr828" "Visual" "picture" 0.487355840174957
"453" "zk7167" "FrontoParietal" "load" 0.123479409354318
"454" "zk7167" "FrontoParietal" "picture" 0.0525007239132627
"455" "zk7167" "Visual" "load" 0.00680663728333686
"456" "zk7167" "Visual" "picture" -0.0438100746051197
"457" "ki2142" "FrontoParietal" "load" 0.151086473564095
"458" "ki2142" "FrontoParietal" "picture" -0.176817325595246
"459" "ki2142" "Visual" "load" -0.129637746774567
"460" "ki2142" "Visual" "picture" 0.367868508153877
"461" "gw5507" "FrontoParietal" "load" 0.176043126073936
"462" "gw5507" "FrontoParietal" "picture" -0.0475649125719053
"463" "gw5507" "Visual" "load" -0.296613254006936
"464" "gw5507" "Visual" "picture" 0.652877402610019
"465" "ks348" "FrontoParietal" "load" 0.16733115345468
"466" "ks348" "FrontoParietal" "picture" -0.273818467402156
"467" "ks348" "Visual" "load" -0.150104019470489
"468" "ks348" "Visual" "picture" 0.319095247112106
"469" "rk9191" "FrontoParietal" "load" 0.152601517029618
"470" "rk9191" "FrontoParietal" "picture" -0.111956919803905
"471" "rk9191" "Visual" "load" 0.107617664996229
"472" "rk9191" "Visual" "picture" 0.0195806682649018
"473" "qf4888" "FrontoParietal" "load" 0.186817717580461
"474" "qf4888" "FrontoParietal" "picture" -0.135476271384137
"475" "qf4888" "Visual" "load" -0.179157199627707
"476" "qf4888" "Visual" "picture" 0.308092002338741
"477" "zn4946" "FrontoParietal" "load" 0.16530543407854
"478" "zn4946" "FrontoParietal" "picture" -0.127533610656032
"479" "zn4946" "Visual" "load" -0.136104993911805
"480" "zn4946" "Visual" "picture" 0.272249400471103
"481" "ic7015" "FrontoParietal" "load" 0.0916082761230845
"482" "ic7015" "FrontoParietal" "picture" -0.171223263867006
"483" "ic7015" "Visual" "load" -0.13707126626213
"484" "ic7015" "Visual" "picture" 0.331226308858956
"485" "ux1568" "FrontoParietal" "load" 0.151824442008588
