"0bkFace.0bkFace" "0bkFace.0bkPlace" "0bkFace.2bkFace" "0bkFace.2bkPlace" "0bkPlace.0bkFace" "0bkPlace.0bkPlace" "0bkPlace.2bkFace" "0bkPlace.2bkPlace" "2bkFace.0bkFace" "2bkFace.0bkPlace" "2bkFace.2bkFace" "2bkFace.2bkPlace" "2bkPlace.0bkFace" "2bkPlace.0bkPlace" "2bkPlace.2bkFace" "2bkPlace.2bkPlace"
"bu7334.gm3042" 0.0980003979314296 0.11248654057428 0.119129593043999 0.0987726710579317 0.0926420925041984 0.0620828426940562 0.0305937496490105 0.00998221657547836 0.0368226858419544 -0.0326608000110807 0.0768718230552697 0.0634877866387947 0.010583765502106 -0.0118588381393137 0.0494784931152061 0.0338517638756594
"pe8461.nb5136" -0.0303001840511179 -0.0647772258209849 -0.0318795530872791 -0.0462904810743549 0.0801471073191684 -0.00437188960996913 -0.0252651492478841 -0.0354874652432066 0.0840872374736372 -0.0211548595759517 0.0441893152377456 -0.0253316606410176 0.0674437414644498 -0.0668922152849997 -0.041227276137453 -0.0524579330717314
"jb8336.sl1458" 0.0407875795685136 0.0358611007644345 0.0506319443408055 0.0354776815627066 0.00896920016143663 0.028015359532117 0.0346153169078149 0.02592593713294 0.0113828365394234 0.0376729132627476 0.0292139313855313 0.0198452496546292 0.0952532797211389 0.0923722739251412 0.0698704544830789 0.0629154883998823
"bl1733.va3536" 0.111504433552942 0.127100777589354 0.182243391074779 0.177154709455797 0.0959352893921622 0.111079341009769 0.145415768092428 0.160176734976745 0.0441688714202229 0.0784994308915255 0.13029205669508 0.15036298269283 0.115631147710199 0.113004739483155 0.14514713356061 0.194589426257808
"ng7390.cn2854" 0.103781372159729 0.0413620681478 -0.0389053997161484 0.0638606565697744 0.0895727739315692 -0.00573124127859489 -0.043117607407079 0.0530585562918929 0.0624218851457809 -0.033128346996242 -0.103990277065596 0.00321423980693543 0.000678826040586222 -0.0192252311775751 -0.0730648640252424 1.52581008148393e-05
"fs9681.of1252" 0.119542523698321 0.139945569688241 0.0874025590717085 0.0567070183953949 0.0316248167528618 0.128055451795884 0.10860166374106 0.0850205224474288 0.0429586748566924 0.157749985790685 0.199822314031759 0.178223688946169 0.00731907532098541 0.127118599271505 0.171280274693089 0.16851583941384
"ob7283.be7256" 0.126603839401397 0.104523916640708 0.126984365634339 0.153300123369201 0.141435527638072 0.145988373403682 0.226374209892854 0.250636841651834 0.158602703126212 0.228739788331015 0.274385851294275 0.28910281347144 0.193010078685942 0.300693580693665 0.342477604608417 0.362263172613579
"xl995.ny6429" 0.119073288585252 0.0894890968578104 0.0263893890535078 0.0459071891368507 0.118103582063709 0.190442903039728 0.265556599864436 0.253757374879532 0.133125114813849 0.154234880237031 0.260139531622204 0.239368182442608 0.148356191706504 0.132393437285043 0.256081303408181 0.267225342309607
"nu868.jz5835" 0.0280554245591697 -0.0387616408195489 0.244166203644205 0.141264747893208 0.0605397665370762 -0.00302651787538373 0.275964944781831 0.175539985890276 0.118656605004583 0.0356171114966892 0.331286226359476 0.257176769305725 0.0733532486320661 -0.0246561968483905 0.27186982765468 0.197348928991015
"gc2234.jh9757" 0.11116352842633 0.0929109280414923 0.0658215570164675 0.0916550913049757 0.10639175136089 0.0930931518566273 0.0789664073729015 0.114836762674042 0.18436784652522 0.142358964813196 0.186952762772071 0.173898726512098 0.263305991019197 0.240378659072218 0.235248318580022 0.251761982600213
"jb2591.qr1593" 0.288338772606277 0.366698334212788 0.349013637773814 0.333223222870142 0.255329171947594 0.327823704611459 0.330342445968152 0.31071498061789 0.322819957513759 0.396266065166642 0.334717315422754 0.39217404588028 0.32135379375589 0.381834336981211 0.36226080178574 0.377826768803452
"dw4092.gb9984" 0.132016089636693 0.096053810017041 0.148407954746927 0.182398316258794 0.196845516434863 0.0856933471708714 0.127631765867659 0.234438140291918 0.154400056592971 0.129415587927304 0.191345494948388 0.211837890472293 0.177312318938622 0.109059840609234 0.178905751478695 0.207646035499802
"wq7313.nl1099" 0.100852455239587 0.112700507494074 0.291863634407882 0.257951323380972 0.0613349877469314 0.0990323993410086 0.334091512533725 0.298496919179385 0.0745835878620029 0.115493859866767 0.316080155252608 0.287441917796948 0.0626049698688816 0.10200306254382 0.335890082681705 0.310483801078511
"jf6228.vu5503" 0.0611482988438526 0.152855643744913 0.109335449619086 0.0984431074457819 0.0899848967350576 0.107555891567346 0.216577883620806 0.14282458167258 0.0160484845536416 0.0336649607874621 0.134239680793373 0.0881842984855661 0.11210261545312 0.136237133688529 0.220966320811051 0.145734237591456
"db6412.ux6584" -0.0224043489165599 -0.0288713753943469 -0.0576313076760405 -0.102052028723759 0.0047095778430982 0.0120600432950959 -0.00205026399257214 -0.0162523616081856 0.0267902595533119 0.0048264437932099 -0.0341635761366217 -0.0407491427792754 0.0635672745737076 0.0809232731624794 0.0429424999031704 -0.0644495153854752
"ag5213.oz1883" -0.0881882978388852 -0.0728163898211783 -0.0795165045814859 -0.0553360855086575 -0.062990424569799 -0.0692444166156373 -0.021901468791099 0.0224807960193506 -0.0846606375897086 -0.20108253244387 0.0997385020038647 -0.0723113436455008 -0.112711071332075 -0.108146039882915 -0.056774636416087 -0.00346109566489018
"ie8874.bm1248" 0.0528435858722935 -0.00971053843383658 0.0358466379223912 0.0180921785632101 0.0271542953910119 0.000416130740324698 0.0646210181029508 0.0469980032283839 0.0600859872431456 0.00660593309443646 0.11327437149193 0.0730033062831595 0.0198047553847086 0.0112623485344866 0.00725528549801661 0.0103281711639164
"ov2980.pc4750" 0.206244932529618 0.227525695293634 0.213072316010273 0.225465870495929 0.160946296395393 0.278328220205345 0.264140771841504 0.291934509012526 0.119837293123258 0.223617639966508 0.319571084476568 0.313301241126896 0.201399643209216 0.369245393764556 0.329005731840608 0.341138897769619
"vr4751.aj8654" 0.102673528656385 0.0580643132793548 0.0886515726949576 0.154044209185328 0.130255668670575 0.181043616198642 0.24217025645329 0.220272212649786 0.0843020131990313 0.185888808936631 0.22766974878991 0.121424611551445 0.125767088255124 0.210051441897738 0.293263710395638 0.182191584878398
